model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,-0.14216062825763331,136.64719146420177,104.78277606493124,-1.2422243631643133,2.5023176909034723,8,"{'model__max_depth': 3, 'model__min_samples_split': 5}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,-0.10800436575716033,134.58846906559089,103.09148379912047,-1.1632442021617093,2.464435165659999,8,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,-0.09998046384325399,134.10025486789897,102.82896496228555,-1.142962400738213,2.4366073900549092,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,-0.1016592092844193,134.20254503216825,102.8302630162591,-1.1487955131702925,2.4539589112794387,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,-0.10027863888903066,134.11842911806878,102.73392348963664,-1.1467972615254722,2.443448371028844,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,-0.09068392132677938,133.5323747902252,98.68788089625946,-1.104176540919492,2.73107601324952,8,"{'model__C': 1.0, 'model__gamma': 'scale'}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,-0.09358628656545642,133.70992496251355,98.97617992446456,-1.1104914498618463,2.7302375322956314,8,{'model__C': 0.1},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,-0.19979133035016083,140.05221344579275,107.61051033944882,-1.3571027590386884,2.4423392327581768,8,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
