model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,0.08130959890969502,0.06099019972628414,0.04586706220214563,0.10266581253509872,0.11949129137160155,8,"{'model__max_depth': 3, 'model__min_samples_split': 5}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,0.11855608487778213,0.0597410440580392,0.04488937800287848,0.13713386061829147,0.11988136698799813,8,"{'model__max_depth': 7, 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 100}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,0.10356385211733132,0.06024696122358065,0.04544185514947386,0.11563368377733199,0.10517635429281016,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,0.1144024643943583,0.05988163722448594,0.04540560739133276,0.12309565435527615,0.09330030819457047,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,0.1259895089736045,0.059488605566806345,0.04496476474709986,0.14150138958146177,0.11119865746947559,8,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,0.07417683722223511,0.061226507532084085,0.04840460468123151,0.054952024923814985,0.07718704327270227,8,"{'model__C': 1.0, 'model__gamma': 0.01}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,0.05839529001437194,0.06174613488735357,0.04869533115732803,0.037561602571711636,0.08986630131531877,8,{'model__C': 0.1},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,0.06717306052237926,0.061457657964577646,0.04648960204739532,0.07989222748494217,0.10697718232836065,8,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
