model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,0.019530265704510996,0.05020223876278253,0.03932644226958038,-0.02771049738582075,0.1415668067827712,9,"{'model__max_depth': 3, 'model__min_samples_split': 20}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,0.03204599262451768,0.0498807930755681,0.0390161482133564,-0.007429158928139075,0.1441073244080651,9,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 15, 'model__n_estimators': 100}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,0.029628807542336655,0.049943035666107534,0.03911822789391741,-0.009484397343480364,0.13342906259530635,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,0.025184838439451518,0.05005726606622652,0.03929068579183977,-0.013094092743805142,0.12694774860309796,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,0.01725578145945339,0.05026043436688251,0.0394613850754148,-0.022750529509690046,0.1280783425011667,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,0.03492376385236007,0.04980658894976951,0.03907682950316224,-0.0075894305651288034,0.1387548341865104,9,"{'model__C': 1.0, 'model__gamma': 0.01}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,0.021350648982299547,0.0501556132675706,0.03929801496752486,-0.021420893244654387,0.14229149300112895,9,{'model__C': 100.0},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,-0.06329954029492413,0.05227978608147103,0.04080842578730644,-0.12096899243926476,0.16946141639442533,9,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
