model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,-0.1439519520165513,125.44229807181439,102.39429914836278,-5.106047730331318,9.994408345529685,9,"{'model__max_depth': 3, 'model__min_samples_split': 20}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,-0.12038812229527673,124.14360644497906,101.53486879373878,-5.074037929955153,10.073801239085432,9,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 200}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,-0.11579302713402262,123.88876717060415,101.14252495660024,-5.067303295103085,10.070274776363123,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,-0.1239545433605238,124.34103650724722,101.87992615297395,-5.059608861930933,10.032101475436377,9,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,-0.11477432255643105,123.83219983668133,101.29125415822253,-5.030006796744132,9.983439418157861,9,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,-0.14959480025174443,125.75130627725068,103.0208062469603,-4.706735238730986,8.865873642534396,9,"{'model__C': 10.0, 'model__gamma': 'scale'}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,-0.1503076564369099,125.79028901450009,103.1951911246333,-4.791404614976559,9.048514142923485,9,{'model__C': 1.0},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,-0.22337904305662826,129.72408855815877,106.12171255351011,-5.237963615547776,9.897448137780941,9,"{'model__n_neighbors': 7, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
