model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,0.01611283858313728,0.04879686060390194,0.03867167336370476,-0.029511290588979548,0.14990051838941412,9,"{'model__max_depth': 3, 'model__min_samples_split': 20}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,0.0363767924830537,0.048291740778332225,0.03824563268125166,-0.0036248558183736104,0.1580743606075243,9,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__min_samples_split': 15, 'model__n_estimators': 300}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,0.038153221030788664,0.04824720760420541,0.03821738741412181,-0.0005396269603467557,0.14661543481158607,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,0.03154581685889457,0.04841264101857911,0.038385001918070705,-0.007038848798205797,0.1503471542348174,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,0.021591984662114094,0.04866079906714149,0.038667325402815526,-0.018592826245508273,0.14158584764551832,9,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,0.03709511010868771,0.04827373826694137,0.03830912776913975,-0.008325593039898129,0.1528404342003121,9,"{'model__C': 1.0, 'model__gamma': 0.01}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,0.021450602559151766,0.048664314736207324,0.03859533872176781,-0.022958768967137975,0.15786096457442483,9,{'model__C': 100.0},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,-0.061837689088667824,0.05069303618633939,0.040010379796052035,-0.11377830238567456,0.1894611310520345,9,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
