model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,-0.1276698833768808,129.56200147695367,100.0730795165858,-1.3143674093989295,2.736888716762998,8,"{'model__max_depth': 3, 'model__min_samples_split': 20}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,-0.10447491466920344,128.22260198197324,99.26551825560836,-1.2634842370145836,2.749688203145796,8,"{'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 200}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,-0.09285790972249863,127.54648875913207,98.52619149722035,-1.2374221292422904,2.732032111655667,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,-0.09612885253596293,127.73722058423638,98.6389823417244,-1.2430692771853527,2.7426517614110986,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,-0.09425200260162092,127.62781451081301,98.60970544210124,-1.2394599285360453,2.737975496859835,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 50}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,-0.08708150986286056,127.20896287997029,95.49903399091845,-1.2254702187160886,3.0187132294295003,8,"{'model__C': 10.0, 'model__gamma': 'scale'}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,-0.08948810358576842,127.34969337802417,95.66648708880811,-1.2346564533964732,3.04422980307323,8,{'model__C': 0.1},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,-0.20242548023268214,133.7875629461548,103.9477838661152,-1.4603474042694,2.7447101935464167,8,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
