model_name,r2,rmse,mae,fold_r2_mean,fold_r2_std,n_folds,best_params,search_space
DecisionTree,0.1403702418599002,0.056063416608784326,0.04373842641008945,0.13622498617425965,0.07016725844058685,8,"{'model__max_depth': 3, 'model__min_samples_split': 5}","{'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 20]}"
RandomForest,0.154864602803942,0.05558875997056218,0.043161618183421714,0.15645409269212565,0.10057401947428067,8,"{'model__max_depth': 7, 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 300}","{'model__n_estimators': [100, 200, 300], 'model__max_depth': [3, 5, 7, 10], 'model__min_samples_split': [5, 10, 15], 'model__min_samples_leaf': [1, 2]}"
GradientBoosting,0.150575911562301,0.05572962576916295,0.04355300461265924,0.14732665311113663,0.08288363876986242,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
XGBoost,0.15819997933487606,0.05547895937518192,0.04340562852198043,0.1555124429745874,0.08143985895784601,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
LightGBM,0.15637462085168885,0.05553907706833377,0.043510110497389586,0.1526064168122399,0.0772683132652552,8,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}","{'model__n_estimators': [50, 100, 200], 'model__max_depth': [3, 5, 7], 'model__learning_rate': [0.01, 0.1, 0.2]}"
SVR_RBF,0.09328853742024334,0.057578241027967304,0.0466205625341735,0.07074213049388245,0.07095173958882632,8,"{'model__C': 0.1, 'model__gamma': 0.01}","{'model__C': [0.1, 1.0, 10.0, 100.0], 'model__gamma': ['scale', 'auto', 0.01, 0.1]}"
SVR_Linear,0.08102653841640084,0.05796626597942475,0.04697639161120763,0.05839604451912908,0.0684809505447789,8,{'model__C': 0.1},"{'model__C': [0.1, 1.0, 10.0, 100.0]}"
KNN,0.09133036294151253,0.05764038176312639,0.04460974744764068,0.09408320407422414,0.10697940032845607,8,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}","{'model__n_neighbors': [3, 5, 7, 9], 'model__weights': ['uniform', 'distance']}"
